2024-10-10 14:17:40.917 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-10 14:17:41.081 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 1 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.147 сек., синхр.=0.001 сек., всего=0.164 сек.; синхронизировано_файлов=1, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=3 kB, ожидалось=458 kB; lsn=0/22FA7E8, lsn redo=0/22FA7B0
2024-10-10 14:57:40.121 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-10 14:57:40.235 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 1 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.103 сек., синхр.=0.003 сек., всего=0.118 сек.; синхронизировано_файлов=1, самая_долгая_синхр.=0.003 сек., средняя=0.003 сек.; расстояние=4 kB, ожидалось=412 kB; lsn=0/22FBAD0, lsn redo=0/22FBA98
2024-10-10 15:15:00.046 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-10 15:15:01.723 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 16 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.652 сек., синхр.=0.012 сек., всего=1.678 сек.; синхронизировано_файлов=16, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=17 kB, ожидалось=373 kB; lsn=0/23000F8, lsn redo=0/23000C0
2024-10-10 16:15:00.801 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-10 16:15:02.170 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 13 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.336 сек., синхр.=0.021 сек., всего=1.370 сек.; синхронизировано_файлов=13, самая_долгая_синхр.=0.004 сек., средняя=0.002 сек.; расстояние=10 kB, ожидалось=337 kB; lsn=0/2302940, lsn redo=0/2302908
2024-10-10 16:50:00.228 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-10 16:50:00.472 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 3 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.228 сек., синхр.=0.006 сек., всего=0.244 сек.; синхронизировано_файлов=3, самая_долгая_синхр.=0.004 сек., средняя=0.002 сек.; расстояние=2 kB, ожидалось=303 kB; lsn=0/2303328, lsn redo=0/23032F0
2024-10-10 19:55:00.757 MSK [6132] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-10 19:55:00.916 MSK [6132] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 1 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.104 сек., синхр.=0.003 сек., всего=0.172 сек.; синхронизировано_файлов=1, самая_долгая_синхр.=0.003 сек., средняя=0.003 сек.; расстояние=3 kB, ожидалось=273 kB; lsn=0/2304228, lsn redo=0/23041F0
